Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@67bba64c,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@485ecf80,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@340dd225,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70f3e364,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f237c23,org.apache.commons.collections.bag,1.0
de.ugoe.cs.tcs.se.graph.SEFile@9fca02c,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@f717d1,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@63a2a6e7,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4751ccac,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31d5d7b3,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4a53c0fb,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3e858e2f,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@142363cb,org.apache.commons.collections4,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5af2a7a6,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38a04233,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@651f9b51,org.apache.commons.collections.list,0.825
de.ugoe.cs.tcs.se.graph.SEFile@2864110a,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@18769ffc,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70fffd8d,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d1aa9d6,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@23ab3ca6,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3d2c8d4d,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2127192e,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2afb0808,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c5dbd41,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5c62dd8c,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@594547c0,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@44d92245,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@277bc14,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38f0ff87,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e1c7ec3,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4fed8679,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@41cd07f2,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@32b1c4e,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@15b72ee9,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4a0f6c2a,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@358966ca,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@225f7e19,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@67ed9429,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@99f834f,org.apache.commons.collections.bag,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1d502248,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7397c43b,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4116bc11,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@76891734,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f6e92d4,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@79464167,org.apache.commons.collections.primitives,1.0
