Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@4d6b1ca0,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@479377d0,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@62be1e09,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@59e27f12,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2964c98b,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@77ba195e,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1e0b2ce8,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7be0baab,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@35f1d38e,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ad4c614,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@78c0f51e,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3e961a4a,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3c816cb,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@208437f2,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@69325aa5,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a68f406,org.apache.commons.collections.decorators,0.9603999999999999
de.ugoe.cs.tcs.se.graph.SEFile@6889944d,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@15aa8e21,org.apache.commons.collections.list,0.98
de.ugoe.cs.tcs.se.graph.SEFile@6f78fc9a,org.apache.commons.collections.primitives,0.98
de.ugoe.cs.tcs.se.graph.SEFile@17ae1a11,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6bc2a86c,org.apache.commons.collections.map,0.9603999999999999
de.ugoe.cs.tcs.se.graph.SEFile@55396708,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4a2b00d5,org.apache.commons.collections.map,0.98
de.ugoe.cs.tcs.se.graph.SEFile@2787ff5b,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2618bf22,org.apache.commons.collections4.iterators,0.98
de.ugoe.cs.tcs.se.graph.SEFile@529aa995,org.apache.commons.collections.map,0.98
de.ugoe.cs.tcs.se.graph.SEFile@48910330,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f056b3,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7b4618e3,org.apache.commons.collections.decorators,0.98
de.ugoe.cs.tcs.se.graph.SEFile@1dbd9a63,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47823ff7,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@41bcbdae,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@587659e5,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f76e0c7,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@265b298f,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@21db1d2e,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2d6d2c0c,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@13e5be7b,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a06b511,org.apache.commons.collections.map,0.98
de.ugoe.cs.tcs.se.graph.SEFile@59e25bfb,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c7b6620,org.apache.commons.collections,0.7290000000000001
de.ugoe.cs.tcs.se.graph.SEFile@7f5c0cd9,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@9d72327,org.apache.commons.collections4,0.71442
de.ugoe.cs.tcs.se.graph.SEFile@58fd980f,org.apache.commons.collections4,0.98
de.ugoe.cs.tcs.se.graph.SEFile@60c5b20c,org.apache.commons.collections.decorators,0.9
de.ugoe.cs.tcs.se.graph.SEFile@5f506d5,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b631e25,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@694764bb,org.apache.commons.collections,0.81
de.ugoe.cs.tcs.se.graph.SEFile@56cf1791,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@503508e1,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@27ea476d,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6174d8d1,org.apache.commons.collections,0.8643599999999999
de.ugoe.cs.tcs.se.graph.SEFile@55c65329,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65b32c7a,org.apache.commons.collections,0.882
de.ugoe.cs.tcs.se.graph.SEFile@312a6837,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@ab47e39,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38af49aa,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b498e00,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7dd2259f,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@392a3786,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47124813,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@155a1105,org.apache.commons.collections.primitives,0.81
de.ugoe.cs.tcs.se.graph.SEFile@2a259fbc,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1fbbc980,org.apache.commons.collections.primitives,0.98
de.ugoe.cs.tcs.se.graph.SEFile@37ad812b,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26f878,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5c74706c,org.apache.commons.collections.primitives,0.9
de.ugoe.cs.tcs.se.graph.SEFile@6d71f20d,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73ec066b,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@52af9ae1,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6aa8c68e,org.apache.commons.collections.primitives,0.882
de.ugoe.cs.tcs.se.graph.SEFile@133ece89,org.apache.commons.collections.primitives,0.98
