Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@b28e92b,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73ed0652,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47323c13,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,org.apache.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,org.apache.bookkeeper.client,1.0
de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,org.apache.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,org.apache.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,com.yahoo.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@68581add,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@407db,org.apache.zookeeper.cli,1.0
de.ugoe.cs.tcs.se.graph.SEFile@11be0088,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@536feff7,org.apache.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@40cea414,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@650fc7c6,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@17ef63fc,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1edb60ec,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5236f892,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1f630f6f,com.yahoo.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4a2ddd3f,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a3408f7,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@60be131,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34d1ef1d,org.apache.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@688e7a3c,org.apache.zookeeper.cli,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7c8ec5c8,org.apache.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3efaaaa,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@283cacf1,org.apache.zookeeper.cli,1.0
de.ugoe.cs.tcs.se.graph.SEFile@88d044e,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f521dd5,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1dcee91c,org.apache.zookeeper.common,1.0
de.ugoe.cs.tcs.se.graph.SEFile@164d03ed,org.apache.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@54688019,org.apache.bookkeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@15a93e33,org.apache.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@cc759b4,org.apache.bookkeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@87674e2,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@510f3a35,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d5eaa02,com.yahoo.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6391aa5f,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@79bdc8ce,com.yahoo.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65bfa952,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70250a0e,org.apache.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@44f6a2ae,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@545d1c15,com.yahoo.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@50bd6891,org.apache.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4ae4a11b,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@45d290ac,org.apache.zookeeper.cli,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6eba2609,com.yahoo.zookeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1bcfba72,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@404a0f26,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@505799e0,org.apache.zookeeper,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a981443,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@666ec2bc,org.apache.zookeeper.server,1.0
de.ugoe.cs.tcs.se.graph.SEFile@24ead2bb,org.apache.bookkeeper.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5248e8c5,org.apache.zookeeper.inspector,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26fb4d34,org.apache.zookeeper.test,1.0
