Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@117857c1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@68581add,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@407db,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,de.ugoe.cs.tcs.se.graph.SEFile@68581add,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,de.ugoe.cs.tcs.se.graph.SEFile@407db,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@117857c1,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,de.ugoe.cs.tcs.se.graph.SEFile@68581add,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,de.ugoe.cs.tcs.se.graph.SEFile@407db,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,de.ugoe.cs.tcs.se.graph.SEFile@68581add,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,de.ugoe.cs.tcs.se.graph.SEFile@407db,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,de.ugoe.cs.tcs.se.graph.SEFile@68581add,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,de.ugoe.cs.tcs.se.graph.SEFile@407db,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1c8209a0,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,de.ugoe.cs.tcs.se.graph.SEFile@68581add,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,de.ugoe.cs.tcs.se.graph.SEFile@407db,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@57be00b8,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,de.ugoe.cs.tcs.se.graph.SEFile@68581add,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,de.ugoe.cs.tcs.se.graph.SEFile@407db,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@297dbfa,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@68581add,de.ugoe.cs.tcs.se.graph.SEFile@407db,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@68581add,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@407db,de.ugoe.cs.tcs.se.graph.SEFile@11be0088,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@536feff7,de.ugoe.cs.tcs.se.graph.SEFile@40cea414,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@536feff7,de.ugoe.cs.tcs.se.graph.SEFile@b28e92b,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@40cea414,de.ugoe.cs.tcs.se.graph.SEFile@b28e92b,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5236f892,de.ugoe.cs.tcs.se.graph.SEFile@1f630f6f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5236f892,de.ugoe.cs.tcs.se.graph.SEFile@1edb60ec,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f630f6f,de.ugoe.cs.tcs.se.graph.SEFile@1edb60ec,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4a2ddd3f,de.ugoe.cs.tcs.se.graph.SEFile@5bf4702,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4a2ddd3f,de.ugoe.cs.tcs.se.graph.SEFile@44d3c396,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4a2ddd3f,de.ugoe.cs.tcs.se.graph.SEFile@5da8d9c9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a3408f7,de.ugoe.cs.tcs.se.graph.SEFile@4a2ddd3f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a3408f7,de.ugoe.cs.tcs.se.graph.SEFile@60be131,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a3408f7,de.ugoe.cs.tcs.se.graph.SEFile@34d1ef1d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a3408f7,de.ugoe.cs.tcs.se.graph.SEFile@688e7a3c,1.0,Undirected
