Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@462f9fe9,com.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3b82a08f,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4643e096,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@60d925cb,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@a9c5c5b,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@66e4cff9,com.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f3e194b,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@12a74539,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4d1f00b3,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51ed6696,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@331ed696,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2b4474b8,us.jts.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@62b537ac,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@409f97ad,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7b0b362c,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@39406cb8,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@681da7fb,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@22265d93,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47725592,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1fb12d9,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3ecd2375,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ebc0c22,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@730b53b5,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@fdc5736,com.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@52cb326d,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5210dff1,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6c0816,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@29642317,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3abef736,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3334bb4b,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@37038e1b,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@185fba1b,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f380b2,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@513e7156,com.jts.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3b8ac155,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@98d1547,com.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7d81fcc7,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6c0123fb,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e377aad,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3f7e7ff2,com.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@60307722,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5a839e53,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@30ee9672,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1762fddd,us.jts.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@239df4a8,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e3c3277,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5017e85f,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34ef0d5e,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5c8f8a3a,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@62051454,com.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f9baf4a,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@58be29a4,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@cc86a01,org.apache.directory.fortress,1.0
