Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@7be029a7,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@711842d7,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e4d78a5,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65bd4c4c,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5aa4574,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5060bd85,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e03a4,org.apache.commons.io.comparator,1.0
de.ugoe.cs.tcs.se.graph.SEFile@75cb713b,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@30aabdbe,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@798727da,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4c2709ef,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@53833d49,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6d38940a,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4cbc3e48,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2ad397e2,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7df59264,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e02882f,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a04bc27,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28b05c7b,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@68436090,org.apache.commons.io.filefilter,1.0
