Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@7be029a7,de.ugoe.cs.tcs.se.graph.SEFile@711842d7,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7be029a7,de.ugoe.cs.tcs.se.graph.SEFile@4e4d78a5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7be029a7,de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@711842d7,de.ugoe.cs.tcs.se.graph.SEFile@4e4d78a5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@711842d7,de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4e4d78a5,de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65bd4c4c,de.ugoe.cs.tcs.se.graph.SEFile@5aa4574,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@711842d7,de.ugoe.cs.tcs.se.graph.SEFile@5aa4574,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@711842d7,de.ugoe.cs.tcs.se.graph.SEFile@65bd4c4c,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@711842d7,de.ugoe.cs.tcs.se.graph.SEFile@5060bd85,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@711842d7,de.ugoe.cs.tcs.se.graph.SEFile@4e03a4,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5aa4574,de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5aa4574,de.ugoe.cs.tcs.se.graph.SEFile@5060bd85,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5aa4574,de.ugoe.cs.tcs.se.graph.SEFile@4e03a4,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,de.ugoe.cs.tcs.se.graph.SEFile@65bd4c4c,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,de.ugoe.cs.tcs.se.graph.SEFile@5060bd85,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,de.ugoe.cs.tcs.se.graph.SEFile@4e03a4,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65bd4c4c,de.ugoe.cs.tcs.se.graph.SEFile@5060bd85,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65bd4c4c,de.ugoe.cs.tcs.se.graph.SEFile@4e03a4,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5060bd85,de.ugoe.cs.tcs.se.graph.SEFile@4e03a4,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36d977d6,de.ugoe.cs.tcs.se.graph.SEFile@30aabdbe,1.0,Undirected
