Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@33c3a004,de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,de.ugoe.cs.tcs.se.graph.SEFile@33c3a004,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,de.ugoe.cs.tcs.se.graph.SEFile@33c3a004,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33c3a004,de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,de.ugoe.cs.tcs.se.graph.SEFile@5305b10b,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,de.ugoe.cs.tcs.se.graph.SEFile@5305b10b,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,de.ugoe.cs.tcs.se.graph.SEFile@5cf2b032,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,de.ugoe.cs.tcs.se.graph.SEFile@5cf2b032,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,de.ugoe.cs.tcs.se.graph.SEFile@5305b10b,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,de.ugoe.cs.tcs.se.graph.SEFile@5305b10b,9.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5cf2b032,de.ugoe.cs.tcs.se.graph.SEFile@33c3a004,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5cf2b032,de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5305b10b,de.ugoe.cs.tcs.se.graph.SEFile@50f165ca,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,de.ugoe.cs.tcs.se.graph.SEFile@50f165ca,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,de.ugoe.cs.tcs.se.graph.SEFile@4a9bc099,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,de.ugoe.cs.tcs.se.graph.SEFile@65e77f57,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4eb1c15c,de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,de.ugoe.cs.tcs.se.graph.SEFile@65e77f57,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,de.ugoe.cs.tcs.se.graph.SEFile@65e77f57,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,de.ugoe.cs.tcs.se.graph.SEFile@65e77f57,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65e77f57,de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,de.ugoe.cs.tcs.se.graph.SEFile@5305b10b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,de.ugoe.cs.tcs.se.graph.SEFile@50f165ca,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@45d87ae7,de.ugoe.cs.tcs.se.graph.SEFile@5cf2b032,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5305b10b,de.ugoe.cs.tcs.se.graph.SEFile@5cf2b032,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@50f165ca,de.ugoe.cs.tcs.se.graph.SEFile@5cf2b032,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33c3a004,de.ugoe.cs.tcs.se.graph.SEFile@50f165ca,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f0c4b80,de.ugoe.cs.tcs.se.graph.SEFile@50f165ca,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3755fee0,de.ugoe.cs.tcs.se.graph.SEFile@4a9bc099,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@50f165ca,de.ugoe.cs.tcs.se.graph.SEFile@4a9bc099,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1431fd7e,de.ugoe.cs.tcs.se.graph.SEFile@4a9bc099,2.0,Undirected
