Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@4438d6b7,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@327e61e0,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@54a6467b,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3c829aad,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@609dad5a,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31ea3a04,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@a407345,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1d0f47c6,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@66294a,org.apache.giraph.edge,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f8d0ab3,org.apache.giraph.io,0.98
de.ugoe.cs.tcs.se.graph.SEFile@62dcbfc4,org.apache.giraph.utils,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c83f6ad,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3e9e1748,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5a19edd0,org.apache.giraph.edge,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2324bc14,org.apache.giraph.edge,1.0
de.ugoe.cs.tcs.se.graph.SEFile@87b4679,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ec35460,org.apache.giraph.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5daf53da,org.apache.giraph.graph,0.825
de.ugoe.cs.tcs.se.graph.SEFile@6ab1689d,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a41aca9,org.apache.giraph.block_app,0.9603999999999999
de.ugoe.cs.tcs.se.graph.SEFile@3869d941,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@44018b78,org.apache.giraph.partition,1.0
de.ugoe.cs.tcs.se.graph.SEFile@12a5eef8,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@23cba7f6,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@13303845,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@483d9748,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@444add5e,org.apache.giraph.comm,0.9
de.ugoe.cs.tcs.se.graph.SEFile@1c896aeb,org.apache.giraph.hive,0.81
de.ugoe.cs.tcs.se.graph.SEFile@677d9d97,org.apache.giraph.io,0.6125624999999999
de.ugoe.cs.tcs.se.graph.SEFile@62b93718,org.apache.giraph.io,0.53045685
de.ugoe.cs.tcs.se.graph.SEFile@2e5d7b45,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6060bd95,org.apache.giraph.graph,0.6561
de.ugoe.cs.tcs.se.graph.SEFile@724669dc,org.apache.giraph.comm,0.7290000000000001
de.ugoe.cs.tcs.se.graph.SEFile@756da430,org.apache.giraph.writable,0.9
de.ugoe.cs.tcs.se.graph.SEFile@35097d89,org.apache.giraph.writable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73f0f5de,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@559bedf5,org.apache.giraph.hive,0.4782969000000001
de.ugoe.cs.tcs.se.graph.SEFile@8b90610,org.apache.giraph.hive,1.0
de.ugoe.cs.tcs.se.graph.SEFile@93c1178,org.apache.giraph.block_app,0.5208121800000001
de.ugoe.cs.tcs.se.graph.SEFile@1649d43d,org.apache.giraph.utils,0.4304672100000001
de.ugoe.cs.tcs.se.graph.SEFile@45dabe6,org.apache.giraph.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@267dcb32,org.apache.giraph.bsp,0.9
de.ugoe.cs.tcs.se.graph.SEFile@2b646013,org.apache.giraph.bsp,0.9
de.ugoe.cs.tcs.se.graph.SEFile@b227d3e,org.apache.giraph.graph,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65157cfa,org.apache.giraph.graph,0.9603999999999999
de.ugoe.cs.tcs.se.graph.SEFile@683c8b42,org.apache.giraph.graph,0.63011844
de.ugoe.cs.tcs.se.graph.SEFile@28764824,org.apache.giraph.utils,0.642978
de.ugoe.cs.tcs.se.graph.SEFile@45801efc,org.apache.giraph.comm,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28a57504,org.apache.giraph.io,0.9
de.ugoe.cs.tcs.se.graph.SEFile@2c062c97,org.apache.giraph.io,0.9
de.ugoe.cs.tcs.se.graph.SEFile@2b24a9da,org.apache.giraph.utils,0.882
de.ugoe.cs.tcs.se.graph.SEFile@398e1665,org.apache.giraph.block_app,0.540280125
de.ugoe.cs.tcs.se.graph.SEFile@75abfccf,org.apache.giraph.utils,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3619b637,com.yahoo.hadoop_bsp,0.4134207084840001
de.ugoe.cs.tcs.se.graph.SEFile@7708fd5b,com.yahoo.hadoop_bsp,0.9
de.ugoe.cs.tcs.se.graph.SEFile@7a357486,org.apache.giraph.block_app,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7889adc5,org.apache.giraph.writable,1.0
de.ugoe.cs.tcs.se.graph.SEFile@41402f1e,org.apache.giraph.graph,1.0
