Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@e02579a,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@91ab351,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3250e307,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4ec8bb95,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@25a4a357,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2f99cd81,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d163dd4,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1fd4613e,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@14626b93,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1bb4c03e,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36d7b8b7,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5c40c34,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3141bf90,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3a733987,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6de0f886,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@10f98116,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3dbcb1a,org.apache.commons.collections4,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d1626cb,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@66fa1a19,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36379a18,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5664c115,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@789936e2,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@25fa0e43,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73352a74,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2f2065be,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d8273f4,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@60139fe2,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@43370eff,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@de12e11,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@dafd63a,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@bcd6d2e,org.apache.commons.collections4,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6b41e129,org.apache.commons.collections4,1.0
de.ugoe.cs.tcs.se.graph.SEFile@133bb1aa,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e8962fa,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@590e92a5,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2ad94df4,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6544936d,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f5165f,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7b157522,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3ea7cbf1,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@351c0817,org.apache.commons.collections.bag,1.0
de.ugoe.cs.tcs.se.graph.SEFile@104209a3,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3a12cd4a,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3019548d,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@37e65cd3,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c5527cb,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7fc15d49,org.apache.commons.collections.iterators,0.98
de.ugoe.cs.tcs.se.graph.SEFile@18b821ff,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1da54113,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@333dd730,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@592210cf,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ed4b825,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a0245c2,org.apache.commons.collections.functors,0.81352871712
de.ugoe.cs.tcs.se.graph.SEFile@45598208,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@40a9c02f,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@a760771,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c763ff,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3a6dda63,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@45ebe012,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@95b59be,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f67719f,org.apache.commons.collections.primitives,0.81
de.ugoe.cs.tcs.se.graph.SEFile@6f98f0f1,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4aff0904,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6541dd8c,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@613f2f9f,org.apache.commons.collections.list,1.0
de.ugoe.cs.tcs.se.graph.SEFile@674fa84a,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@545a35a1,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@61c2cd07,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2e5871a9,org.apache.commons.collections.set,0.98
de.ugoe.cs.tcs.se.graph.SEFile@233958b5,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f9ebe6b,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@56ecf75e,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73d7087d,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@447f2d7e,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4156a21a,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@b7ed802,org.apache.commons.collections4.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@e7b0f64,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@42153f94,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@107416ef,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38db1807,org.apache.commons.collections,0.98
de.ugoe.cs.tcs.se.graph.SEFile@6605e634,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5c766f02,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@823c54e,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1818a93c,org.apache.commons.collections.primitives,0.777924
de.ugoe.cs.tcs.se.graph.SEFile@61f02921,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@46e61deb,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3e8f30e,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2e78517a,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@16fe3bb8,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@71d898ad,org.apache.commons.collections.map,0.71442
de.ugoe.cs.tcs.se.graph.SEFile@13232812,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5af396ac,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4455de4f,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3f2d0b5f,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3cbad34c,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@c10bc3e,org.apache.commons.collections.functors,1.0
de.ugoe.cs.tcs.se.graph.SEFile@51a4e431,org.apache.commons.collections4,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6a1c9627,org.apache.commons.collections4,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4b3cc07b,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@11eb198,org.apache.commons.collections.primitives,0.777924
de.ugoe.cs.tcs.se.graph.SEFile@32b04dbf,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@e94b974,org.apache.commons.collections,0.67240638864
de.ugoe.cs.tcs.se.graph.SEFile@284c9959,org.apache.commons.collections,0.9
de.ugoe.cs.tcs.se.graph.SEFile@5b65c086,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a69ccba,org.apache.commons.collections.decorators,0.7938000000000001
de.ugoe.cs.tcs.se.graph.SEFile@37d47665,org.apache.commons.collections.decorators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34083a83,org.apache.commons.collections.decorators,0.882
de.ugoe.cs.tcs.se.graph.SEFile@6f480d2d,org.apache.commons.collections4,1.0
de.ugoe.cs.tcs.se.graph.SEFile@68f7980c,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f2c4aa6,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@401d8967,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d65f301,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@30f8f317,org.apache.commons.collections.map,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3c84167a,org.apache.commons.collections.bag,0.98
de.ugoe.cs.tcs.se.graph.SEFile@4607c315,org.apache.commons.collections.bag,1.0
de.ugoe.cs.tcs.se.graph.SEFile@58a1195d,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3cc67fec,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7398cfbb,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7fd696d0,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4115f3dd,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3d6fc921,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73aca8ac,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b7df12d,org.apache.commons.collections.bag,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4eeb13aa,org.apache.commons.collections.bag,1.0
de.ugoe.cs.tcs.se.graph.SEFile@64912adb,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@439b552e,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4fe1a91b,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3f80430c,org.apache.commons.collections.set,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2de49320,org.apache.commons.collections,0.882
de.ugoe.cs.tcs.se.graph.SEFile@d70ac8b,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@b7d68a9,org.apache.commons.collections.buffer,0.98
de.ugoe.cs.tcs.se.graph.SEFile@2cea2893,org.apache.commons.collections.buffer,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5fb1c516,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34cfdbfc,org.apache.commons.collections.iterators,1.0
de.ugoe.cs.tcs.se.graph.SEFile@793f6ef6,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34497b77,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@673db41e,org.apache.commons.collections,0.7938000000000001
de.ugoe.cs.tcs.se.graph.SEFile@52303104,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2bc7354c,org.apache.commons.collections.primitives,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3d36a34c,org.apache.commons.collections,0.8643599999999999
de.ugoe.cs.tcs.se.graph.SEFile@3ab175f9,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1496f1d6,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@464b8912,org.apache.commons.collections,1.0
de.ugoe.cs.tcs.se.graph.SEFile@fc4358e,org.apache.commons.collections4.iterators,1.0
