Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@51fc6f14,de.ugoe.cs.tcs.se.graph.SEFile@6f22ea90,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fc6f14,de.ugoe.cs.tcs.se.graph.SEFile@1796212e,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fc6f14,de.ugoe.cs.tcs.se.graph.SEFile@c5f1660,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@51fc6f14,de.ugoe.cs.tcs.se.graph.SEFile@c92e8f6,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6f22ea90,de.ugoe.cs.tcs.se.graph.SEFile@1796212e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6f22ea90,de.ugoe.cs.tcs.se.graph.SEFile@c5f1660,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6f22ea90,de.ugoe.cs.tcs.se.graph.SEFile@c92e8f6,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1796212e,de.ugoe.cs.tcs.se.graph.SEFile@c5f1660,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1796212e,de.ugoe.cs.tcs.se.graph.SEFile@c92e8f6,6.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@c5f1660,de.ugoe.cs.tcs.se.graph.SEFile@c92e8f6,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@c92e8f6,de.ugoe.cs.tcs.se.graph.SEFile@74a3ab50,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@c92e8f6,de.ugoe.cs.tcs.se.graph.SEFile@38597376,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6f22ea90,de.ugoe.cs.tcs.se.graph.SEFile@74a3ab50,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6f22ea90,de.ugoe.cs.tcs.se.graph.SEFile@38597376,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@74a3ab50,de.ugoe.cs.tcs.se.graph.SEFile@38597376,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5b040464,de.ugoe.cs.tcs.se.graph.SEFile@74a3ab50,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5b040464,de.ugoe.cs.tcs.se.graph.SEFile@c5f1660,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5b040464,de.ugoe.cs.tcs.se.graph.SEFile@c92e8f6,1.0,Undirected
