Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@51433479,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2fed0263,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7e962555,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b6e1f34,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d9317a6,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2641b9cc,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@516cf2e9,us.jts.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7df48ed5,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@765c19fc,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@39774c1,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2261be79,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@264360a9,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b9f27d8,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7420f996,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@478cf4cd,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@40475bd5,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1efc69e8,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1070f642,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6583a893,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4ba296d,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d337e5a,org.openldap.fortress.rbac,1.0
de.ugoe.cs.tcs.se.graph.SEFile@872e1ee,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@42514ac4,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1df78a1d,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f2bd9a0,org.apache.directory.fortress,0.9
de.ugoe.cs.tcs.se.graph.SEFile@3c6124b1,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28fc0c3,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@60d01b45,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@8d5d90b,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2a011cf8,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c4bc589,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6c8ce58a,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@48725d44,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4baadc7c,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@16888ef5,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47386758,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@55f3fafe,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@55aac2e4,org.apache.directory.fortress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@727458cd,org.apache.directory.fortress,1.0
