Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@266f826a,org.apache.wiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c97e91a,org.apache.wiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@33b3c166,org.apache.wiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f3a7ec0,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4b799383,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31f0a671,com.ecyrd.jspwiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@799e197b,org.apache.wiki.content,1.0
de.ugoe.cs.tcs.se.graph.SEFile@721dce70,org.apache.wiki.content,1.0
de.ugoe.cs.tcs.se.graph.SEFile@732ee25b,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7dd2a5ce,com.ecyrd.jspwiki.dav,1.0
de.ugoe.cs.tcs.se.graph.SEFile@168d5fca,com.ecyrd.jspwiki.dav,1.0
de.ugoe.cs.tcs.se.graph.SEFile@76f8b905,org.apache.wiki.filters,1.0
de.ugoe.cs.tcs.se.graph.SEFile@65dcc5be,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1ae6e4a4,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@131d650f,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4519a27c,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d235ded,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@72c5468a,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f7af494,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4bb72df3,org.apache.wiki.filters,1.0
de.ugoe.cs.tcs.se.graph.SEFile@12f806b8,org.apache.wiki.filters,1.0
de.ugoe.cs.tcs.se.graph.SEFile@200c5c26,org.apache.wiki.filters,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34645cfb,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2e20f5bb,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@64334bca,org.apache.wiki.action,1.0
de.ugoe.cs.tcs.se.graph.SEFile@182bc7c,org.apache.wiki.markdown,1.0
de.ugoe.cs.tcs.se.graph.SEFile@60aa9cc6,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@48dbaedb,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@d848062,com.ecyrd.jspwiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7d2d24b3,com.ecyrd.jspwiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d387369,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ec4005b,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@46a66b38,org.apache.wiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26a80864,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7705f8d3,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@14aab2e9,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3348338e,com.ecyrd.jspwiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@24d217a6,org.apache.wiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@9be0e3a,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@11003b26,org.apache.wiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@636e848d,org.apache.wiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@66b6a09e,org.apache.wiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@77e15ab1,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7dc40ac9,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f955567,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@9bf0672,com.ecyrd.jspwiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@60de33ca,org.apache.wiki.workflow,1.0
de.ugoe.cs.tcs.se.graph.SEFile@37bb1dd3,org.apache.wiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@19ef2840,org.apache.wiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@450ccc5a,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6aebb342,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@540b0552,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@271e9520,org.apache.wiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@777dfa04,org.apache.wiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@571133b3,org.apache.wiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5b358270,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@db2db84,org.apache.wiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@462b616e,com.ecyrd.jspwiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4b6cb34b,org.apache.wiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4aa9db2a,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7d5ffea,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5754fe61,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5706ec1d,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@48d05ccd,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@346ffac6,org.apache.wiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@111cbf3,com.ecyrd.jspwiki,1.0
de.ugoe.cs.tcs.se.graph.SEFile@f44eb87,com.ecyrd.jspwiki.plugin,1.0
de.ugoe.cs.tcs.se.graph.SEFile@562dccbc,com.ecyrd.jspwiki.tags,1.0
de.ugoe.cs.tcs.se.graph.SEFile@f7b2e12,com.ecyrd.jspwiki.auth,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5ca927b2,com.ecyrd.jspwiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@172adf93,com.ecyrd.jspwiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@15bede88,com.ecyrd.jspwiki.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5ed14aa8,com.ecyrd.jspwiki.ui,1.0
de.ugoe.cs.tcs.se.graph.SEFile@39d39108,org.apache.wiki.util,1.0
