Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@2d4fd78,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@788c15e4,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@46cb4893,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@27e187a4,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4d5e14b,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73449f51,org.apache.deltaspike.test.jpa,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2f897cd8,org.apache.deltaspike.jsf.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@35869777,org.apache.deltaspike.jsf.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@11253454,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a364148,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2381c4de,org.apache.deltaspike.jsf.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5aff905c,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3442c3a3,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@635f86fb,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f09ff65,org.apache.deltaspike.core.api,0.825
de.ugoe.cs.tcs.se.graph.SEFile@66f171bc,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6c9d800b,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@fcef78a,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4fe6ed6c,org.apache.deltaspike.data.test,0.825
de.ugoe.cs.tcs.se.graph.SEFile@9d1e03,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@18b13f02,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@32290765,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@54993f35,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@14e9e65c,org.apache.deltaspike.core.api,1.0
de.ugoe.cs.tcs.se.graph.SEFile@72b0bc84,org.apache.deltaspike.test.jpa,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7da7ba93,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4b6d8424,org.apache.deltaspike.jsf.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1d076710,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@bd0ef90,org.apache.deltaspike.core.impl,0.825
de.ugoe.cs.tcs.se.graph.SEFile@16038fdf,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7dec76a5,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1a59784f,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f172156,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3640d95d,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@18567d91,org.apache.deltaspike.jsf.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2de67fea,org.apache.deltaspike.jsf.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1a370c6d,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70d580bf,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3f714ec,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@708685a8,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@415623a9,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@735f3e90,org.apache.deltaspike.test.core,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4803fba5,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@16aa204c,org.apache.deltaspike.core.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28927141,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@b165f14,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5df9bc26,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@58a7352f,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@421debff,org.apache.deltaspike.test.testcontrol,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4599c726,org.apache.deltaspike.data.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@29a19514,org.apache.deltaspike.data.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47035662,org.apache.deltaspike.test.jsf,0.825
de.ugoe.cs.tcs.se.graph.SEFile@6444b47d,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@62206eb4,org.apache.deltaspike.data.impl,0.9
de.ugoe.cs.tcs.se.graph.SEFile@34a6c570,org.apache.deltaspike.data.test,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2c38b9ec,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@336f6237,org.apache.deltaspike.test.jsf,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70e1c5fb,org.apache.deltaspike.data.impl,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3abc7d2c,org.apache.deltaspike.core.api,1.0
