Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@17fd4d1a,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1d05266a,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@256fa829,org.apache.commons.io.compress,0.825
de.ugoe.cs.tcs.se.graph.SEFile@5d174e26,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@605e8d2d,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@46134317,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28c5dd3c,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@47c865f1,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4dcb18d5,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2ee3c4b8,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@78dc5551,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6459266c,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3497692d,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@32a65bfa,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4d47ed09,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@f026067,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@718a3dc9,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@34ee6d7d,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3e3a53ee,org.apache.commons.io.output,0.825
de.ugoe.cs.tcs.se.graph.SEFile@4830ed22,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@48672d58,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1ffac5ee,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3f81d6d4,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@451b0ed8,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@533a146f,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7902b9e4,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ae8257a,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@62fcd81b,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36e39c58,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5009e9c1,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@59f5ce9d,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@136f6daa,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@10840f0c,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4e2b4cd1,org.apache.commons.io,0.9
de.ugoe.cs.tcs.se.graph.SEFile@cc57d43,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@354c0be5,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@61f36af5,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@399bfed2,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5c61f8d5,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38a99115,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31e92141,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@f9f28a5,org.apache.commons.io,0.9
de.ugoe.cs.tcs.se.graph.SEFile@7b41d8a0,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@27f20d99,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@11f0e3b,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4902da6e,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@205ecd84,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c618e1b,org.apache.commons.io.filefilter,1.0
de.ugoe.cs.tcs.se.graph.SEFile@69220438,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@739f0adb,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6dc6a851,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@75fb7cb2,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3ce8e9f5,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a04cbbe,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@79801727,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@341f1ad9,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@62ac1973,org.apache.commons.io.compress,0.9
de.ugoe.cs.tcs.se.graph.SEFile@13b5f15a,org.apache.commons.io.compress,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2f8e2758,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6390d949,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@55d81c1,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@701fd62d,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e865093,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e943732,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@20e6932e,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4c23d9ea,org.apache.commons.io,1.0
de.ugoe.cs.tcs.se.graph.SEFile@158cc708,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@744c1560,org.apache.commons.io.output,1.0
de.ugoe.cs.tcs.se.graph.SEFile@75969b2e,org.apache.commons.io.input,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1b7ce4a7,org.apache.commons.io.input,1.0
