Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@54e66efc,de.ugoe.cs.tcs.se.graph.SEFile@1641df90,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@54e66efc,de.ugoe.cs.tcs.se.graph.SEFile@8f523a9,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1641df90,de.ugoe.cs.tcs.se.graph.SEFile@8f523a9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d0492b5,de.ugoe.cs.tcs.se.graph.SEFile@3efd6d6,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d0492b5,de.ugoe.cs.tcs.se.graph.SEFile@6ea79a2f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3efd6d6,de.ugoe.cs.tcs.se.graph.SEFile@6ea79a2f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d0492b5,de.ugoe.cs.tcs.se.graph.SEFile@73e9fbbd,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d0492b5,de.ugoe.cs.tcs.se.graph.SEFile@31a604c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4d0492b5,de.ugoe.cs.tcs.se.graph.SEFile@54e66efc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@73e9fbbd,de.ugoe.cs.tcs.se.graph.SEFile@31a604c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@73e9fbbd,de.ugoe.cs.tcs.se.graph.SEFile@54e66efc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,de.ugoe.cs.tcs.se.graph.SEFile@54e66efc,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,de.ugoe.cs.tcs.se.graph.SEFile@6ec9f291,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,de.ugoe.cs.tcs.se.graph.SEFile@1641df90,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@54e66efc,de.ugoe.cs.tcs.se.graph.SEFile@6ec9f291,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ec9f291,de.ugoe.cs.tcs.se.graph.SEFile@1641df90,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36c5323,de.ugoe.cs.tcs.se.graph.SEFile@226b101c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36c5323,de.ugoe.cs.tcs.se.graph.SEFile@3df8a0c5,7.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36c5323,de.ugoe.cs.tcs.se.graph.SEFile@3477e334,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36c5323,de.ugoe.cs.tcs.se.graph.SEFile@1f4b2caa,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@36c5323,de.ugoe.cs.tcs.se.graph.SEFile@3d56c8b7,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@226b101c,de.ugoe.cs.tcs.se.graph.SEFile@3df8a0c5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@226b101c,de.ugoe.cs.tcs.se.graph.SEFile@3477e334,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@226b101c,de.ugoe.cs.tcs.se.graph.SEFile@1f4b2caa,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@226b101c,de.ugoe.cs.tcs.se.graph.SEFile@3d56c8b7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3df8a0c5,de.ugoe.cs.tcs.se.graph.SEFile@3477e334,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3df8a0c5,de.ugoe.cs.tcs.se.graph.SEFile@1f4b2caa,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3df8a0c5,de.ugoe.cs.tcs.se.graph.SEFile@3d56c8b7,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3477e334,de.ugoe.cs.tcs.se.graph.SEFile@1f4b2caa,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3477e334,de.ugoe.cs.tcs.se.graph.SEFile@3d56c8b7,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f4b2caa,de.ugoe.cs.tcs.se.graph.SEFile@3d56c8b7,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5f7afde3,de.ugoe.cs.tcs.se.graph.SEFile@7fc089b2,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5f7afde3,de.ugoe.cs.tcs.se.graph.SEFile@26298534,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7fc089b2,de.ugoe.cs.tcs.se.graph.SEFile@26298534,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,de.ugoe.cs.tcs.se.graph.SEFile@207f055e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,de.ugoe.cs.tcs.se.graph.SEFile@3b4e6f53,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,de.ugoe.cs.tcs.se.graph.SEFile@4f75ad71,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,de.ugoe.cs.tcs.se.graph.SEFile@3086d7a0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,de.ugoe.cs.tcs.se.graph.SEFile@4cd6b97e,1.0,Undirected
