Id,Category,Value
de.ugoe.cs.tcs.se.graph.SEFile@54e66efc,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1641df90,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@8f523a9,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4d0492b5,org.apache.gora.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3efd6d6,org.apache.gora.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ea79a2f,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@130db9fa,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73e9fbbd,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31a604c,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6ec9f291,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36c5323,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@226b101c,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3df8a0c5,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3477e334,org.apache.gora.avro,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1f4b2caa,org.apache.gora.persistency,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3d56c8b7,org.apache.gora.persistency,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5f7afde3,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7fc089b2,org.apache.gora.solr,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26298534,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@207f055e,org.apache.gora.mongodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3b4e6f53,org.apache.gora.jcache,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4f75ad71,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3086d7a0,org.apache.gora.jcache,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4cd6b97e,org.apache.gora.query,1.0
de.ugoe.cs.tcs.se.graph.SEFile@344a96b,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1311b092,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@21502585,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c561d1f,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6fbd7354,org.apache.gora.jcache,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7614d09d,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@69d7f5e4,org.apache.gora.query,1.0
de.ugoe.cs.tcs.se.graph.SEFile@23fe3763,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@a63e6f0,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@12676e05,org.apache.gora.jcache,1.0
de.ugoe.cs.tcs.se.graph.SEFile@31df9504,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5833fa2e,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@445e8f8f,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1fc08635,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4fd0e76,org.apache.gora.jcache,1.0
de.ugoe.cs.tcs.se.graph.SEFile@22604059,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@237f6fe6,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@236cab6c,org.apache.gora.avro,1.0
de.ugoe.cs.tcs.se.graph.SEFile@264dc72b,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3f156bb7,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@79f73156,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28f2ad43,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6dac2151,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@616f54ce,org.apache.gora.jcache,1.0
de.ugoe.cs.tcs.se.graph.SEFile@734f43e0,org.apache.gora.store,1.0
de.ugoe.cs.tcs.se.graph.SEFile@70842d9a,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@20a80047,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1838174e,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6aaf4ae,org.apache.gora.solr,1.0
de.ugoe.cs.tcs.se.graph.SEFile@68ce9e1d,org.apache.gora.pig,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e895f6d,org.apache.gora.store,1.0
de.ugoe.cs.tcs.se.graph.SEFile@72a15aa8,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2cb578d3,org.apache.gora.dynamodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28bda5d8,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6012461,org.apache.gora.ignite,1.0
de.ugoe.cs.tcs.se.graph.SEFile@272b4b20,org.apache.gora.ignite,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2522abc3,org.apache.gora.orientdb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@74da3332,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3759053,org.apache.gora.orientdb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7b777b11,org.apache.gora.store,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5293b9ba,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@73d7e46c,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4937f1f8,org.apache.gora.mongodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2e80d04b,org.apache.gora.mongodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@52ec85f6,org.apache.gora.pig,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5d3ec822,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@23ed1019,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7f952e0c,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@22461104,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@15ff8dc4,org.apache.gora.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@705737f3,org.apache.gora.jcache,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3959df23,org.apache.gora.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7a7bd9db,org.apache.gora.avro,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2a61ed1,org.apache.gora.jcache,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4ef26166,org.apache.gora.solr,1.0
de.ugoe.cs.tcs.se.graph.SEFile@67cab341,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@68161e4f,org.apache.gora.query,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4c3745a9,org.apache.gora.avro,1.0
de.ugoe.cs.tcs.se.graph.SEFile@341fa70c,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@11799aa9,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2d84b251,org.apache.gora.pig,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3ba4b656,org.apache.gora.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@596e019,org.apache.gora.persistency,1.0
de.ugoe.cs.tcs.se.graph.SEFile@53a4e755,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2aade397,org.apache.gora.mongodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7434108d,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@636e6a55,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@41ae4fd9,org.apache.gora.store,1.0
de.ugoe.cs.tcs.se.graph.SEFile@518cd7db,org.apache.gora.ignite,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26901e45,org.apache.gora.persistency,1.0
de.ugoe.cs.tcs.se.graph.SEFile@f026547,org.apache.gora.pig,1.0
de.ugoe.cs.tcs.se.graph.SEFile@44e725f6,org.apache.gora.ignite,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5aaaec77,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5e2b0696,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@614eff3e,org.apache.gora.avro,1.0
de.ugoe.cs.tcs.se.graph.SEFile@36e44141,org.apache.gora.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1f8c070a,org.apache.gora.persistency,1.0
de.ugoe.cs.tcs.se.graph.SEFile@301e32dc,org.apache.gora.ignite,1.0
de.ugoe.cs.tcs.se.graph.SEFile@67007fbf,org.apache.gora.avro,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4fdfbcf0,org.apache.gora.mongodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@4a4e74bc,org.apache.gora.accumulo,1.0
de.ugoe.cs.tcs.se.graph.SEFile@41d2cfe9,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6e9b5437,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@ca6af1a,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@26f02d7d,org.apache.gora.store,1.0
de.ugoe.cs.tcs.se.graph.SEFile@2084c183,org.apache.gora.hbase,1.0
de.ugoe.cs.tcs.se.graph.SEFile@62ec0359,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@661d1cb5,org.apache.gora.store,1.0
de.ugoe.cs.tcs.se.graph.SEFile@59b2efa8,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@74de9c67,org.apache.gora.util,1.0
de.ugoe.cs.tcs.se.graph.SEFile@67186a06,org.apache.gora.store,1.0
de.ugoe.cs.tcs.se.graph.SEFile@38fce74,org.apache.gora.pig,1.0
de.ugoe.cs.tcs.se.graph.SEFile@9b1ef28,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@1c74f809,org.apache.gora.ignite,1.0
de.ugoe.cs.tcs.se.graph.SEFile@6325376c,org.apache.gora.aerospike,1.0
de.ugoe.cs.tcs.se.graph.SEFile@133e1e0b,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@5034be6c,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@52d7a792,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@28aa02f3,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3a79c518,org.apache.gora.solr,1.0
de.ugoe.cs.tcs.se.graph.SEFile@72aab8a5,org.apache.gora.pig,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7ff91ae5,org.apache.gora.dynamodb,1.0
de.ugoe.cs.tcs.se.graph.SEFile@7d81f14d,org.apache.gora.mapreduce,1.0
de.ugoe.cs.tcs.se.graph.SEFile@23510767,org.apache.gora.cassandra,1.0
de.ugoe.cs.tcs.se.graph.SEFile@43da7ac1,org.apache.gora.pig,1.0
de.ugoe.cs.tcs.se.graph.SEFile@3c4ef57b,org.apache.gora.examples,1.0
de.ugoe.cs.tcs.se.graph.SEFile@68dd9165,org.apache.gora.accumulo,1.0
