Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@2b170772,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@33944a19,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@335466d3,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@33944a19,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@335466d3,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,de.ugoe.cs.tcs.se.graph.SEFile@33944a19,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,de.ugoe.cs.tcs.se.graph.SEFile@335466d3,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,de.ugoe.cs.tcs.se.graph.SEFile@33944a19,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,de.ugoe.cs.tcs.se.graph.SEFile@335466d3,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33944a19,de.ugoe.cs.tcs.se.graph.SEFile@335466d3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@22ddee1b,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@22ddee1b,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@22ddee1b,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,de.ugoe.cs.tcs.se.graph.SEFile@22ddee1b,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@7a2bc376,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@61a28525,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a2bc376,de.ugoe.cs.tcs.se.graph.SEFile@61a28525,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,de.ugoe.cs.tcs.se.graph.SEFile@69ab6452,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,de.ugoe.cs.tcs.se.graph.SEFile@22ddee1b,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,de.ugoe.cs.tcs.se.graph.SEFile@69ab6452,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@22ddee1b,de.ugoe.cs.tcs.se.graph.SEFile@33944a19,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@22ddee1b,de.ugoe.cs.tcs.se.graph.SEFile@69ab6452,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@22ddee1b,de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@69ab6452,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33944a19,de.ugoe.cs.tcs.se.graph.SEFile@69ab6452,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33944a19,de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@69ab6452,de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,de.ugoe.cs.tcs.se.graph.SEFile@b62ab52,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7280f50d,de.ugoe.cs.tcs.se.graph.SEFile@71c9e5e0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@b62ab52,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@71c9e5e0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b62ab52,de.ugoe.cs.tcs.se.graph.SEFile@71c9e5e0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,de.ugoe.cs.tcs.se.graph.SEFile@8c578f,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@1c5fd266,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1c5fd266,de.ugoe.cs.tcs.se.graph.SEFile@61b12353,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@2b77bdbc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@4eecb58,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,de.ugoe.cs.tcs.se.graph.SEFile@335466d3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,de.ugoe.cs.tcs.se.graph.SEFile@2b77bdbc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,de.ugoe.cs.tcs.se.graph.SEFile@4eecb58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@2b77bdbc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@4eecb58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b77bdbc,de.ugoe.cs.tcs.se.graph.SEFile@4eecb58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5470cc25,de.ugoe.cs.tcs.se.graph.SEFile@61a28525,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@37b7af8f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@21793da,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@335466d3,de.ugoe.cs.tcs.se.graph.SEFile@69721e9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@37b7af8f,de.ugoe.cs.tcs.se.graph.SEFile@8c578f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@37b7af8f,de.ugoe.cs.tcs.se.graph.SEFile@21793da,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@37b7af8f,de.ugoe.cs.tcs.se.graph.SEFile@69721e9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@21793da,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@8c578f,de.ugoe.cs.tcs.se.graph.SEFile@69721e9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@21793da,de.ugoe.cs.tcs.se.graph.SEFile@69721e9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@69721e9,de.ugoe.cs.tcs.se.graph.SEFile@6dff7363,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7b52712e,de.ugoe.cs.tcs.se.graph.SEFile@4eecb58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b170772,de.ugoe.cs.tcs.se.graph.SEFile@4eecb58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33944a19,de.ugoe.cs.tcs.se.graph.SEFile@2b77bdbc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@33944a19,de.ugoe.cs.tcs.se.graph.SEFile@369fbf38,1.0,Undirected
