Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@11342885,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,de.ugoe.cs.tcs.se.graph.SEFile@706791e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@3039e654,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@639b4511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@639b4511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@639b4511,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@7579c615,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@30902cff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@30902cff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@30902cff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@7579c615,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@28ae0110,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@5aaee682,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@28ae0110,de.ugoe.cs.tcs.se.graph.SEFile@5aaee682,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65add15d,de.ugoe.cs.tcs.se.graph.SEFile@7d0df816,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@3039e654,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@163f6aa5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@163f6aa5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@163f6aa5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,de.ugoe.cs.tcs.se.graph.SEFile@163f6aa5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@163f6aa5,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@639b4511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@639b4511,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,de.ugoe.cs.tcs.se.graph.SEFile@28ae0110,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@28ae0110,de.ugoe.cs.tcs.se.graph.SEFile@163f6aa5,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@3039e654,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@706791e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@7ee930dc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@7ee930dc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@7ee930dc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@7579c615,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@4ee1c39d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@5ac14524,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@4ee1c39d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@5ac14524,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4ee1c39d,de.ugoe.cs.tcs.se.graph.SEFile@5ac14524,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@273337b7,de.ugoe.cs.tcs.se.graph.SEFile@5e428695,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
