Source,Target,Weight,Type
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,5.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,8.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@11342885,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@17f7f39e,de.ugoe.cs.tcs.se.graph.SEFile@706791e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@ad965f0,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@3039e654,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@639b4511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@639b4511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@639b4511,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7a9ffa91,de.ugoe.cs.tcs.se.graph.SEFile@7579c615,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@30902cff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@30902cff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@30902cff,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@7579c615,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1f29dcf7,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@b268e60,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@4d81dfb9,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@28ae0110,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,de.ugoe.cs.tcs.se.graph.SEFile@5aaee682,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@28ae0110,de.ugoe.cs.tcs.se.graph.SEFile@5aaee682,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@65add15d,de.ugoe.cs.tcs.se.graph.SEFile@7d0df816,4.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@3039e654,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@307e8d5,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@6833a58,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6833a58,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@639b4511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@639b4511,de.ugoe.cs.tcs.se.graph.SEFile@b268e60,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac96a15,de.ugoe.cs.tcs.se.graph.SEFile@28ae0110,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@3039e654,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@706791e1,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@2505b8a3,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@4c9691e1,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@6ac4ae89,de.ugoe.cs.tcs.se.graph.SEFile@11342885,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@64592a57,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@7ee930dc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@64592a57,de.ugoe.cs.tcs.se.graph.SEFile@7ee930dc,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@7ee930dc,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@7579c615,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@4ee1c39d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3a6546f6,de.ugoe.cs.tcs.se.graph.SEFile@5ac14524,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@4ee1c39d,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7579c615,de.ugoe.cs.tcs.se.graph.SEFile@5ac14524,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@4ee1c39d,de.ugoe.cs.tcs.se.graph.SEFile@5ac14524,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@273337b7,de.ugoe.cs.tcs.se.graph.SEFile@5e428695,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@2b27c511,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@273337b7,de.ugoe.cs.tcs.se.graph.SEFile@5645a51e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@273337b7,de.ugoe.cs.tcs.se.graph.SEFile@625ee53e,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@273337b7,de.ugoe.cs.tcs.se.graph.SEFile@7f07572c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@273337b7,de.ugoe.cs.tcs.se.graph.SEFile@6d52fea2,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5e428695,de.ugoe.cs.tcs.se.graph.SEFile@5645a51e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5e428695,de.ugoe.cs.tcs.se.graph.SEFile@625ee53e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5e428695,de.ugoe.cs.tcs.se.graph.SEFile@7f07572c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5e428695,de.ugoe.cs.tcs.se.graph.SEFile@6d52fea2,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5645a51e,de.ugoe.cs.tcs.se.graph.SEFile@625ee53e,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5645a51e,de.ugoe.cs.tcs.se.graph.SEFile@7f07572c,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@5645a51e,de.ugoe.cs.tcs.se.graph.SEFile@6d52fea2,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@625ee53e,de.ugoe.cs.tcs.se.graph.SEFile@7f07572c,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@625ee53e,de.ugoe.cs.tcs.se.graph.SEFile@6d52fea2,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@7f07572c,de.ugoe.cs.tcs.se.graph.SEFile@6d52fea2,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@2f8536bd,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@37a72328,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@75a42371,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@6007400,3.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@3707b644,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@706791e1,de.ugoe.cs.tcs.se.graph.SEFile@3f5d4192,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@3039e654,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@2f8536bd,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@37a72328,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@75a42371,2.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@6007400,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@3707b644,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@1de3a43f,de.ugoe.cs.tcs.se.graph.SEFile@3f5d4192,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@2f8536bd,1.0,Undirected
de.ugoe.cs.tcs.se.graph.SEFile@3039e654,de.ugoe.cs.tcs.se.graph.SEFile@37a72328,4.0,Undirected
